Title,Description,Source,Date,URL,Topic,full_text,cleaned_text,processed_text,vader_label,vader_score,sentiment_label,ml_trained,sentiment_score
Maharashtra eyes five-fold expansion of data centre capacity by 2030,"Maharashtra accounts for a dominant portion of India's data centre stock, driven by favourable policy, ready access to infrastructure and a skilled talent pool, industry observers say. The state's proximity to undersea cable landing stations and strong connec…",The Times of India,"13 Mar 2026, 13:25",https://economictimes.indiatimes.com/tech/artificial-intelligence/maharashtra-eyes-five-fold-expansion-of-data-centre-capacity-by-2030/articleshow/129555155.cms,technology,"Maharashtra eyes five-fold expansion of data centre capacity by 2030 Maharashtra accounts for a dominant portion of India's data centre stock, driven by favourable policy, ready access to infrastructure and a skilled talent pool, industry observers say. The state's proximity to undersea cable landing stations and strong connec…",maharashtra eyes five fold expansion data centre capacity maharashtra accounts dominant portion india data centre stock driven favourable policy ready access infrastructure skilled talent pool industry observers say state proximity undersea cable landing stations strong connec,maharashtra eyes five fold expansion data centre capacity maharashtra accounts dominant portion india data centre stock driven favourable policy ready access infrastructure skilled talent pool industry observers say state proximity undersea cable landing stations strong connec,Positive,0.8225,Positive,True,0.37777777777777777
iPhone Fold: 5 Things We Learned This Week About Apple's Foldable,"It's been a big week for foldable iPhone rumors. In case you missed any of them, here are five developments that we've covered over the last few days. Apple is expected to launch the iPhone Fold this September. For everything else we know, be sure to che…",MacRumors,"13 Mar 2026, 13:24",https://www.macrumors.com/2026/03/13/iphone-fold-5-things-we-learned-this-week/,technology,"iPhone Fold: 5 Things We Learned This Week About Apple's Foldable It's been a big week for foldable iPhone rumors. In case you missed any of them, here are five developments that we've covered over the last few days. Apple is expected to launch the iPhone Fold this September. For everything else we know, be sure to che…",iphone fold things learned week apple foldable big week foldable iphone rumors case missed five developments covered last days apple expected launch iphone fold september everything else know sure che,iphone fold things learned week apple foldable big week foldable iphone rumors case missed five developments covered last days apple expected launch iphone fold september everything else know sure che,Neutral,0.0258,Positive,True,0.1
FBI joins the search as mystery of missing USAF general deepens,Retired general William Neil McCasland had many links to government conspiracies and the UFO phenomenon. It's a mystery that continues to grip the nat...,Unexplained-mysteries.com,"13 Mar 2026, 13:24",https://www.unexplained-mysteries.com/news/395812/fbi-joins-the-search-as-mystery-of-missing-usaf-general-deepens,technology,FBI joins the search as mystery of missing USAF general deepens Retired general William Neil McCasland had many links to government conspiracies and the UFO phenomenon. It's a mystery that continues to grip the nat...,fbi joins search mystery missing usaf general deepens retired general william neil mccasland many links government conspiracies ufo phenomenon mystery continues grip nat,fbi joins search mystery missing usaf general deepens retired general william neil mccasland many links government conspiracies ufo phenomenon mystery continues grip nat,Negative,-0.296,Positive,True,0.1
Fake enterprise VPN downloads used to steal company credentials,"A threat actor tracked as Storm-2561 is distributing fake enterprise VPN clients from Ivanti, Cisco, and Fortinet to steal VPN credentials from unsuspecting users. [...]",BleepingComputer,"13 Mar 2026, 13:23",https://www.bleepingcomputer.com/news/security/fake-enterprise-vpn-downloads-used-to-steal-company-credentials/,technology,"Fake enterprise VPN downloads used to steal company credentials A threat actor tracked as Storm-2561 is distributing fake enterprise VPN clients from Ivanti, Cisco, and Fortinet to steal VPN credentials from unsuspecting users. [...]",fake enterprise vpn downloads used steal company credentials threat actor tracked storm distributing fake enterprise vpn clients ivanti cisco fortinet steal vpn credentials unsuspecting users,fake enterprise vpn downloads used steal company credentials threat actor tracked storm distributing fake enterprise vpn clients ivanti cisco fortinet steal vpn credentials unsuspecting users,Negative,-0.9432,Negative,True,-0.5
DIVEVOLK sponsors smartphone category at OG PICOTY 2026 underwater photography competition,"DIVEVOLK sponsors smartphone category at OG PICOTY 2026. Prize vouchers, polar expedition, and recognition for creators. Enter by March 28, 2026....",GlobeNewswire,"13 Mar 2026, 13:23",https://www.globenewswire.com/news-release/2026/03/13/3255558/0/en/DIVEVOLK-sponsors-smartphone-category-at-OG-PICOTY-2026-underwater-photography-competition.html,technology,"DIVEVOLK sponsors smartphone category at OG PICOTY 2026 underwater photography competition DIVEVOLK sponsors smartphone category at OG PICOTY 2026. Prize vouchers, polar expedition, and recognition for creators. Enter by March 28, 2026....",divevolk sponsors smartphone category picoty underwater photography competition divevolk sponsors smartphone category picoty prize vouchers polar expedition recognition creators enter march,divevolk sponsors smartphone category picoty underwater photography competition divevolk sponsors smartphone category picoty prize vouchers polar expedition recognition creators enter march,Positive,0.5106,Negative,True,-0.08333333333333333
"Lianhe Sowell International Group Ltd. Announces Non-Binding MOU with World Mobile, A Global Decentralized Communications Network Operator","SHENZHEN, CHINA, March 13, 2026 (GLOBE NEWSWIRE) -- Lianhe Sowell International Group Ltd (Nasdaq: LHSW) (the “Company”), a provider of industrial machine vision products and solutions in China, today announced that it has signed a non-binding Memorandum of U…",GlobeNewswire,"13 Mar 2026, 13:23",https://www.globenewswire.com/news-release/2026/03/13/3255557/0/en/Lianhe-Sowell-International-Group-Ltd-Announces-Non-Binding-MOU-with-World-Mobile-A-Global-Decentralized-Communications-Network-Operator.html,technology,"Lianhe Sowell International Group Ltd. Announces Non-Binding MOU with World Mobile, A Global Decentralized Communications Network Operator SHENZHEN, CHINA, March 13, 2026 (GLOBE NEWSWIRE) -- Lianhe Sowell International Group Ltd (Nasdaq: LHSW) (the “Company”), a provider of industrial machine vision products and solutions in China, today announced that it has signed a non-binding Memorandum of U…",lianhe sowell international group ltd announces non binding mou world mobile global decentralized communications network operator shenzhen china march globe newswire lianhe sowell international group ltd nasdaq lhsw company provider industrial machine vision products solutions china today announced signed non binding memorandum,lianhe sowell international group ltd announces non binding mou world mobile global decentralized communications network operator shenzhen china march globe newswire lianhe sowell international group ltd nasdaq lhsw company provider industrial machine vision products solutions china today announced signed non binding memorandum,Positive,0.4019,Neutral,True,0.0
The 7-inch smartphone is inevitable: why giving up your small phone is the way to get a 2-day battery,"Massive slab phones can be a pain in the rear to handle. Still, there's that mA(h)ssive advantage.",PhoneArena,"13 Mar 2026, 13:22",https://www.phonearena.com/news/the-7-inch-smartphone-is-inevitable_id178906,technology,"The 7-inch smartphone is inevitable: why giving up your small phone is the way to get a 2-day battery Massive slab phones can be a pain in the rear to handle. Still, there's that mA(h)ssive advantage.",inch smartphone inevitable giving small phone way get day battery massive slab phones pain rear handle still ssive advantage,inch smartphone inevitable giving small phone way get day battery massive slab phones pain rear handle still ssive advantage,Neutral,0.0258,Negative,True,-0.08333333333333333
Apple TV’s First F1 Race Scores Ratings Victory Over Last Year’s ESPN Season Opener,"Apple TV streamed its first Formula 1 race of the season, and it scored what Apple's Senior Vice President of Services Eddy Cue called a ""huge victory"" over the numbers ESPN scored for the same race a year ago.Read More...",Mactrast.com,"13 Mar 2026, 13:19",https://www.mactrast.com/2026/03/apple-tvs-first-f1-race-scores-ratings-victory-over-last-years-espn-season-opener/,technology,"Apple TV’s First F1 Race Scores Ratings Victory Over Last Year’s ESPN Season Opener Apple TV streamed its first Formula 1 race of the season, and it scored what Apple's Senior Vice President of Services Eddy Cue called a ""huge victory"" over the numbers ESPN scored for the same race a year ago.Read More...",apple first race scores ratings victory last year espn season opener apple streamed first formula race season scored apple senior vice president services eddy cue called huge victory numbers espn scored race year ago read,apple first race scores ratings victory last year espn season opener apple streamed first formula race season scored apple senior vice president services eddy cue called huge victory numbers espn scored race year ago read,Positive,0.3182,Positive,True,0.22499999999999998
Re Sustainability and Indian Oil Join Hands to Create India's First Integrated Used Oil Circular Economy Ecosystem,"MUMBAI, India, March 13, 2026 /PRNewswire/ -- Re Sustainability has signed an exclusive MoU with Indian Oil Corporation Limited to launch India's first structured national initiative for the collection and recycling of used lubricating oil. The initiative wil…",PR Newswire UK,"13 Mar 2026, 13:19",https://www.prnewswire.co.uk/news-releases/re-sustainability-and-indian-oil-join-hands-to-create-indias-first-integrated-used-oil-circular-economy-ecosystem-302713402.html,technology,"Re Sustainability and Indian Oil Join Hands to Create India's First Integrated Used Oil Circular Economy Ecosystem MUMBAI, India, March 13, 2026 /PRNewswire/ -- Re Sustainability has signed an exclusive MoU with Indian Oil Corporation Limited to launch India's first structured national initiative for the collection and recycling of used lubricating oil. The initiative wil…",sustainability indian oil join hands create india first integrated used oil circular economy ecosystem mumbai india march prnewswire sustainability signed exclusive mou indian oil corporation limited launch india first structured national initiative collection recycling used lubricating oil initiative wil,sustainability indian oil join hands create india first integrated used oil circular economy ecosystem mumbai india march prnewswire sustainability signed exclusive mou indian oil corporation limited launch india first structured national initiative collection recycling used lubricating oil initiative wil,Positive,0.4404,Positive,True,0.14285714285714288
"Germany, Canada and Norway leaders hold Arctic security talks","German, Canadian and Norwegian leaders are meeting in the Norwegian Arctic on Friday to discuss the region's fragile security situation, against the backdrop of a large NATO exercise.",The Local Germany,"13 Mar 2026, 13:17",https://www.thelocal.de/20260313/germany-canada-and-norway-leaders-hold-arctic-security-talks,technology,"Germany, Canada and Norway leaders hold Arctic security talks German, Canadian and Norwegian leaders are meeting in the Norwegian Arctic on Friday to discuss the region's fragile security situation, against the backdrop of a large NATO exercise.",germany canada norway leaders hold arctic security talks german canadian norwegian leaders meeting norwegian arctic friday discuss region fragile security situation backdrop large nato exercise,germany canada norway leaders hold arctic security talks german canadian norwegian leaders meeting norwegian arctic friday discuss region fragile security situation backdrop large nato exercise,Positive,0.5859,Neutral,True,0.04285714285714286
"Robot Talk Episode 148 – Ethical robot behaviour, with Alan Winfield","Claire chatted to Alan Winfield from the University of the West of England about developing new standards for ethics and transparency in robotics. Alan Winfield is Professor of Robot Ethics at the University of the West of England (UWE), Visiting Professor at…",Robohub.org,"13 Mar 2026, 13:17",https://robohub.org/robot-talk-episode-148-ethical-robot-behaviour-with-alan-winfield/,technology,"Robot Talk Episode 148 – Ethical robot behaviour, with Alan Winfield Claire chatted to Alan Winfield from the University of the West of England about developing new standards for ethics and transparency in robotics. Alan Winfield is Professor of Robot Ethics at the University of the West of England (UWE), Visiting Professor at…",robot talk episode ethical robot behaviour alan winfield claire chatted alan winfield university west england developing new standards ethics transparency robotics alan winfield professor robot ethics university west england uwe visiting professor,robot talk episode ethical robot behaviour alan winfield claire chatted alan winfield university west england developing new standards ethics transparency robotics alan winfield professor robot ethics university west england uwe visiting professor,Positive,0.5106,Positive,True,0.16818181818181818
The Middle East War Could Finally Push Indonesia Toward Renewable Energy,"The war now unfolding between the US, Israel and Iran is already sending shockwaves through global energy markets. Missile strikes, drone attacks and the disruption of shipping lanes have rattled the Persian Gulf, one of the most important arteries of global …",Fair Observer,"13 Mar 2026, 13:16",https://www.fairobserver.com/world-news/middle-east-news/the-middle-east-war-could-finally-push-indonesia-toward-renewable-energy/,technology,"The Middle East War Could Finally Push Indonesia Toward Renewable Energy The war now unfolding between the US, Israel and Iran is already sending shockwaves through global energy markets. Missile strikes, drone attacks and the disruption of shipping lanes have rattled the Persian Gulf, one of the most important arteries of global …",middle east war could finally push indonesia toward renewable energy war unfolding israel iran already sending shockwaves global energy markets missile strikes drone attacks disruption shipping lanes rattled persian gulf one important arteries global,middle east war could finally push indonesia toward renewable energy war unfolding israel iran already sending shockwaves global energy markets missile strikes drone attacks disruption shipping lanes rattled persian gulf one important arteries global,Negative,-0.8934,Positive,True,0.08
"Goa govt to roll out AI, deep-tech policy in 100 days: Minister","Goa is set to unveil its AI and deep-tech policy within 100 days. The state aims to cultivate local talent and develop indigenous technological solutions. This initiative aligns with the global shift towards Industry 5.0, emphasising human-technology collabor…",The Times of India,"13 Mar 2026, 13:15",https://economictimes.indiatimes.com/tech/artificial-intelligence/goa-govt-to-roll-out-ai-deep-tech-policy-in-100-days-minister/articleshow/129554782.cms,technology,"Goa govt to roll out AI, deep-tech policy in 100 days: Minister Goa is set to unveil its AI and deep-tech policy within 100 days. The state aims to cultivate local talent and develop indigenous technological solutions. This initiative aligns with the global shift towards Industry 5.0, emphasising human-technology collabor…",goa govt roll deep tech policy days minister goa set unveil deep tech policy within days state aims cultivate local talent develop indigenous technological solutions initiative aligns global shift towards industry emphasising human technology collabor,goa govt roll deep tech policy days minister goa set unveil deep tech policy within days state aims cultivate local talent develop indigenous technological solutions initiative aligns global shift towards industry emphasising human technology collabor,Positive,0.5423,Neutral,True,0.0
BYD is open to building cars in Canada and acquiring a rival automaker,"BYD’s Executive Vice President Stella Li confirmed the world’s largest EV maker is studying the Canadian market for a wholly owned manufacturing plant, and signaled it could acquire a struggling legacy automaker to accelerate its global expansion. The comm…",Electrek,"13 Mar 2026, 13:15",http://electrek.co/2026/03/13/byd-open-to-building-cars-canada-acquiring-rival-automaker/,technology,"BYD is open to building cars in Canada and acquiring a rival automaker BYD’s Executive Vice President Stella Li confirmed the world’s largest EV maker is studying the Canadian market for a wholly owned manufacturing plant, and signaled it could acquire a struggling legacy automaker to accelerate its global expansion. The comm…",byd open building cars canada acquiring rival automaker byd executive vice president stella confirmed world largest maker studying canadian market wholly owned manufacturing plant signaled could acquire struggling legacy automaker accelerate global expansion comm,byd open building cars canada acquiring rival automaker byd executive vice president stella confirmed world largest maker studying canadian market wholly owned manufacturing plant signaled could acquire struggling legacy automaker accelerate global expansion comm,Negative,-0.4215,Positive,True,0.13333333333333333
"Iran conflict delays Meta’s 2Africa undersea cable project — cable layer declares force majeure, says it can no longer safely operate in the Persian Gulf","Meta is delaying work on the Pearls section of its Africa2 network after its contracted cable-layer, Alcatel Submarine Networks, declared force majeure due to the risk of getting hit during the Iran conflict.",Tom's Hardware UK,"13 Mar 2026, 13:14",https://www.tomshardware.com/tech-industry/iran-conflict-delays-metas-2africa-undersea-cable-project-cable-layer-declares-force-majeure-says-it-can-no-longer-safely-operate-in-the-persian-gulf,technology,"Iran conflict delays Meta’s 2Africa undersea cable project — cable layer declares force majeure, says it can no longer safely operate in the Persian Gulf Meta is delaying work on the Pearls section of its Africa2 network after its contracted cable-layer, Alcatel Submarine Networks, declared force majeure due to the risk of getting hit during the Iran conflict.",iran conflict delays meta africa undersea cable project cable layer declares force majeure says longer safely operate persian gulf meta delaying work pearls section africa network contracted cable layer alcatel submarine networks declared force majeure due risk getting hit iran conflict,iran conflict delays meta africa undersea cable project cable layer declares force majeure says longer safely operate persian gulf meta delaying work pearls section africa network contracted cable layer alcatel submarine networks declared force majeure due risk getting hit iran conflict,Negative,-0.3612,Positive,True,0.1875
Xinhua Silk Road: 34th East China Fair highlights resilience and vitality in foreign trade,"BEIJING, March 13, 2026 /PRNewswire/ -- When the four-day 34th East China Fair (ECF) concluded in Shanghai recently, its bumper harvest of about 2.2 billion U.S. dollars of intent orders attested again to the vitality and resilience of China's foreign trade. …",PR Newswire UK,"13 Mar 2026, 13:14",https://www.prnewswire.co.uk/news-releases/xinhua-silk-road-34th-east-china-fair-highlights-resilience-and-vitality-in-foreign-trade-302713397.html,technology,"Xinhua Silk Road: 34th East China Fair highlights resilience and vitality in foreign trade BEIJING, March 13, 2026 /PRNewswire/ -- When the four-day 34th East China Fair (ECF) concluded in Shanghai recently, its bumper harvest of about 2.2 billion U.S. dollars of intent orders attested again to the vitality and resilience of China's foreign trade. …",xinhua silk road east china fair highlights resilience vitality foreign trade beijing march prnewswire four day east china fair ecf concluded shanghai recently bumper harvest billion dollars intent orders attested vitality resilience china foreign trade,xinhua silk road east china fair highlights resilience vitality foreign trade beijing march prnewswire four day east china fair ecf concluded shanghai recently bumper harvest billion dollars intent orders attested vitality resilience china foreign trade,Positive,0.802,Positive,True,0.22999999999999998
"In Space, Regulators Seek To Boldly Go Where No Bureaucrat Has Gone Before",We don’t really need intrusive laws and regulations to govern lunar mining and space exploration.,Reason,"13 Mar 2026, 13:13",https://reason.com/2026/03/13/in-space-regulators-seek-to-boldly-go-where-no-bureaucrat-has-gone-before/,technology,"In Space, Regulators Seek To Boldly Go Where No Bureaucrat Has Gone Before We don’t really need intrusive laws and regulations to govern lunar mining and space exploration.",space regulators seek boldly bureaucrat gone really need intrusive laws regulations govern lunar mining space exploration,space regulators seek boldly bureaucrat gone really need intrusive laws regulations govern lunar mining space exploration,Positive,0.5267,Positive,True,0.26666666666666666
'We were forced to make changes': Disney+ just added Dolby Vision HDR back again — and confirms the reason it was pulled in the first place,Disney+ has brought back Dolby Vision support for European viewers in the aftermath of a patent dispute,TechRadar,"13 Mar 2026, 13:11",https://www.techradar.com/televisions/we-were-forced-to-make-changes-disney-just-added-dolby-vision-hdr-back-again-and-confirms-the-reason-it-was-pulled-in-the-first-place,technology,'We were forced to make changes': Disney+ just added Dolby Vision HDR back again — and confirms the reason it was pulled in the first place Disney+ has brought back Dolby Vision support for European viewers in the aftermath of a patent dispute,forced make changes disney added dolby vision hdr back confirms reason pulled first place disney brought back dolby vision support european viewers aftermath patent dispute,forced make changes disney added dolby vision hdr back confirms reason pulled first place disney brought back dolby vision support european viewers aftermath patent dispute,Neutral,0.0,Neutral,True,-0.010000000000000009
How Hyperlink InfoSystem Helped a Multinational Healthcare Organization Save $10 Million by Migrating from Azure to AWS,"NEW YORK and LOS ANGELES, March 13, 2026 /PRNewswire/ -- As healthcare organizations continue to rely heavily on digital platforms to manage patient data, operational workflows, and cloud-based applications, optimizing cloud infrastructure has become a critic…",PR Newswire UK,"13 Mar 2026, 13:10",https://www.prnewswire.co.uk/news-releases/how-hyperlink-infosystem-helped-a-multinational-healthcare-organization-save-10-million-by-migrating-from-azure-to-aws-302713395.html,technology,"How Hyperlink InfoSystem Helped a Multinational Healthcare Organization Save $10 Million by Migrating from Azure to AWS NEW YORK and LOS ANGELES, March 13, 2026 /PRNewswire/ -- As healthcare organizations continue to rely heavily on digital platforms to manage patient data, operational workflows, and cloud-based applications, optimizing cloud infrastructure has become a critic…",hyperlink infosystem helped multinational healthcare organization save million migrating azure aws new york los angeles march prnewswire healthcare organizations continue rely heavily digital platforms manage patient data operational workflows cloud based applications optimizing cloud infrastructure become critic,hyperlink infosystem helped multinational healthcare organization save million migrating azure aws new york los angeles march prnewswire healthcare organizations continue rely heavily digital platforms manage patient data operational workflows cloud based applications optimizing cloud infrastructure become critic,Positive,0.6249,Positive,True,0.06818181818181818
Uber and Motional launch commercial robotaxi service in Las Vegas,Uber and Hyundai-backed Motional have launched a driverless taxi service in Las Vegas. Users can now hail these electric robotaxis through the Uber app at no extra cost. This move signifies Uber's increased investment in autonomous vehicle technology. Further…,The Times of India,"13 Mar 2026, 13:09",https://economictimes.indiatimes.com/tech/technology/uber-and-motional-launch-commercial-robotaxi-service-in-las-vegas/articleshow/129554542.cms,technology,Uber and Motional launch commercial robotaxi service in Las Vegas Uber and Hyundai-backed Motional have launched a driverless taxi service in Las Vegas. Users can now hail these electric robotaxis through the Uber app at no extra cost. This move signifies Uber's increased investment in autonomous vehicle technology. Further…,uber motional launch commercial robotaxi service las vegas uber hyundai backed motional launched driverless taxi service las vegas users hail electric robotaxis uber app extra cost move signifies uber increased investment autonomous vehicle technology,uber motional launch commercial robotaxi service las vegas uber hyundai backed motional launched driverless taxi service las vegas users hail electric robotaxis uber app extra cost move signifies uber increased investment autonomous vehicle technology,Positive,0.5531,Positive,True,0.13333333333333333
How Vessi Sells Waterproof Shoes,"Director of ecommerce Ray Hua shares the challenges of targeting the right audience, cross-border selling, diversifying, and more. The post How Vessi Sells Waterproof Shoes appeared first on Practical Ecommerce.",Practical Ecommerce,"13 Mar 2026, 13:07",https://www.practicalecommerce.com/how-vessi-sells-waterproof-shoes,technology,"How Vessi Sells Waterproof Shoes Director of ecommerce Ray Hua shares the challenges of targeting the right audience, cross-border selling, diversifying, and more. The post How Vessi Sells Waterproof Shoes appeared first on Practical Ecommerce.",vessi sells waterproof shoes director ecommerce ray hua shares challenges targeting right audience cross border selling diversifying post vessi sells waterproof shoes appeared first practical ecommerce,vessi sells waterproof shoes director ecommerce ray hua shares challenges targeting right audience cross border selling diversifying post vessi sells waterproof shoes appeared first practical ecommerce,Positive,0.3612,Positive,True,0.17857142857142858
