Title,Description,Source,Date,URL,Topic,full_text,cleaned_text,processed_text,vader_label,vader_score,sentiment_label,ml_trained
"Factors associated with Turkish individuals’ purchase of transportation, accommodation, and household services from digital platforms","Digital platforms are technological applications with steadily increasing popularity. This study aims to investigate various factors associated with the purchase of transportation, accommodation, and household services via digital platforms by individuals in …",Plos.org,"24 Mar 2026, 14:00",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0345765,uk,"Factors associated with Turkish individuals’ purchase of transportation, accommodation, and household services from digital platforms Digital platforms are technological applications with steadily increasing popularity. This study aims to investigate various factors associated with the purchase of transportation, accommodation, and household services via digital platforms by individuals in …",factors associated turkish individuals purchase transportation accommodation household services digital platforms digital platforms technological applications steadily increasing popularity study aims investigate various factors associated purchase transportation accommodation household services via digital platforms individuals,factors associated turkish individuals purchase transportation accommodation household services digital platforms digital platforms technological applications steadily increasing popularity study aims investigate various factors associated purchase transportation accommodation household services via digital platforms individuals,Positive,0.4767,Positive,True
The role of noninfectious comorbidities in the association between severe infections and risk of dementia in Finland: A nationwide registry study,"In a registry-based study, Pyry Sipilä and colleagues investigate the role of non-infectious mental and physical illnesses in the association between severe infections and dementia using nationwide data from Finland.",Plos.org,"24 Mar 2026, 14:00",https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1004688,uk,"The role of noninfectious comorbidities in the association between severe infections and risk of dementia in Finland: A nationwide registry study In a registry-based study, Pyry Sipilä and colleagues investigate the role of non-infectious mental and physical illnesses in the association between severe infections and dementia using nationwide data from Finland.",role noninfectious comorbidities association severe infections risk dementia finland nationwide registry study registry based study pyry sipil colleagues investigate role non infectious mental physical illnesses association severe infections dementia using nationwide data finland,role noninfectious comorbidities association severe infections risk dementia finland nationwide registry study registry based study pyry sipil colleagues investigate role non infectious mental physical illnesses association severe infections dementia using nationwide data finland,Negative,-0.8591,Positive,True
Design considerations for technology-assisted fall-resisting skills training trials in older adults: A pilot and feasibility study,"Training fall-resisting skills can prevent falls in older adults. These fall-resisting skills include proactive gait adaptability, gait robustness, and reactive gait recovery, which allow people to effectively avoid, resist, and recover from balance threats, …",Plos.org,"24 Mar 2026, 14:00",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0345798,uk,"Design considerations for technology-assisted fall-resisting skills training trials in older adults: A pilot and feasibility study Training fall-resisting skills can prevent falls in older adults. These fall-resisting skills include proactive gait adaptability, gait robustness, and reactive gait recovery, which allow people to effectively avoid, resist, and recover from balance threats, …",design considerations technology assisted fall resisting skills training trials older adults pilot feasibility study training fall resisting skills prevent falls older adults fall resisting skills include proactive gait adaptability gait robustness reactive gait recovery allow people effectively avoid resist recover balance threats,design considerations technology assisted fall resisting skills training trials older adults pilot feasibility study training fall resisting skills prevent falls older adults fall resisting skills include proactive gait adaptability gait robustness reactive gait recovery allow people effectively avoid resist recover balance threats,Positive,0.4019,Positive,True
Tony Winner Evan McGill Behind TV Competition Format ‘Broadway Bound: The Search For Broadway’s Next Star’,"EXCLUSIVE: Here’s a new name up in lights – Broadway Bound: The Search For Broadway’s Next Star. Triple Tony Award winner Evan McGill is behind the TV format, in which musical theater performers compete for a career-launching prize of a lead role in a full-pr…",Deadline,"24 Mar 2026, 14:00",http://deadline.com/2026/03/evan-mcgill-tv-series-broadway-bound-search-for-next-star-1236762820/,uk,"Tony Winner Evan McGill Behind TV Competition Format ‘Broadway Bound: The Search For Broadway’s Next Star’ EXCLUSIVE: Here’s a new name up in lights – Broadway Bound: The Search For Broadway’s Next Star. Triple Tony Award winner Evan McGill is behind the TV format, in which musical theater performers compete for a career-launching prize of a lead role in a full-pr…",tony winner evan mcgill behind competition format broadway bound search broadway next star exclusive new name lights broadway bound search broadway next star triple tony award winner evan mcgill behind format musical theater performers compete career launching prize lead role full,tony winner evan mcgill behind competition format broadway bound search broadway next star exclusive new name lights broadway bound search broadway next star triple tony award winner evan mcgill behind format musical theater performers compete career launching prize lead role full,Positive,0.9423,Positive,True
Mobility as a Service Market worth $40.1 billion by 2030 | MarketsandMarkets™,"This growth is fueled by a global shift away from private car ownership toward integrated, eco-friendly digital platforms that combine public transit, ride-hailing, and micro-mobility. This growth is fueled by a global shift away from private car ownership to…",GlobeNewswire,"24 Mar 2026, 14:00",https://www.globenewswire.com/news-release/2026/03/24/3261436/0/en/Mobility-as-a-Service-Market-worth-40-1-billion-by-2030-MarketsandMarkets.html,uk,"Mobility as a Service Market worth $40.1 billion by 2030 | MarketsandMarkets™ This growth is fueled by a global shift away from private car ownership toward integrated, eco-friendly digital platforms that combine public transit, ride-hailing, and micro-mobility. This growth is fueled by a global shift away from private car ownership to…",mobility service market worth billion marketsandmarkets growth fueled global shift away private car ownership toward integrated eco friendly digital platforms combine public transit ride hailing micro mobility growth fueled global shift away private car ownership,mobility service market worth billion marketsandmarkets growth fueled global shift away private car ownership toward integrated eco friendly digital platforms combine public transit ride hailing micro mobility growth fueled global shift away private car ownership,Positive,0.8519,Positive,True
The STRENGTH Study: A cluster randomised controlled trial of the effect of a behaviour change intervention added to cardiac rehabilitation on physical activity adherence,"Background Coronary heart disease is the leading cause of global mortality, imposing significant health and economic burdens. Cardiac rehabilitation, including physical activity, can reduce coronary heart disease-related morbidity and mortality. We tested whe…",Plos.org,"24 Mar 2026, 14:00",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0345293,uk,"The STRENGTH Study: A cluster randomised controlled trial of the effect of a behaviour change intervention added to cardiac rehabilitation on physical activity adherence Background Coronary heart disease is the leading cause of global mortality, imposing significant health and economic burdens. Cardiac rehabilitation, including physical activity, can reduce coronary heart disease-related morbidity and mortality. We tested whe…",strength study cluster randomised controlled trial effect behaviour change intervention added cardiac rehabilitation physical activity adherence background coronary heart disease leading cause global mortality imposing significant health economic burdens cardiac rehabilitation including physical activity reduce coronary heart disease related morbidity mortality tested whe,strength study cluster randomised controlled trial effect behaviour change intervention added cardiac rehabilitation physical activity adherence background coronary heart disease leading cause global mortality imposing significant health economic burdens cardiac rehabilitation including physical activity reduce coronary heart disease related morbidity mortality tested whe,Positive,0.8885,Positive,True
Accounting for sensitivity of latent learning to behavioral statistics with successor representations,"Author summary Latent learning enables animals to construct cognitive maps of their environment without direct reinforcement. This process facilitates efficient navigation when rewards are introduced later, that is, animals familiar with a maze through prior …",Plos.org,"24 Mar 2026, 14:00",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1014131,uk,"Accounting for sensitivity of latent learning to behavioral statistics with successor representations Author summary Latent learning enables animals to construct cognitive maps of their environment without direct reinforcement. This process facilitates efficient navigation when rewards are introduced later, that is, animals familiar with a maze through prior …",accounting sensitivity latent learning behavioral statistics successor representations author summary latent learning enables animals construct cognitive maps environment without direct reinforcement process facilitates efficient navigation rewards introduced later animals familiar maze prior,accounting sensitivity latent learning behavioral statistics successor representations author summary latent learning enables animals construct cognitive maps environment without direct reinforcement process facilitates efficient navigation rewards introduced later animals familiar maze prior,Positive,0.7783,Positive,True
Rapid identification of Biomphalaria spp. and diagnosis of Schistosoma mansoni infestation using MALDI-TOF mass spectrometry,"Author summary This study investigates the use of Matrix-Assisted Laser Desorption/Ionisation Time-of-Flight mass spectrometry (MALDI-TOF MS) to identify Biomphalaria snails infected with the Schistosoma mansoni parasite, which causes schistosomiasis. Researc…",Plos.org,"24 Mar 2026, 14:00",https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013236,uk,"Rapid identification of Biomphalaria spp. and diagnosis of Schistosoma mansoni infestation using MALDI-TOF mass spectrometry Author summary This study investigates the use of Matrix-Assisted Laser Desorption/Ionisation Time-of-Flight mass spectrometry (MALDI-TOF MS) to identify Biomphalaria snails infected with the Schistosoma mansoni parasite, which causes schistosomiasis. Researc…",rapid identification biomphalaria spp diagnosis schistosoma mansoni infestation using maldi tof mass spectrometry author summary study investigates use matrix assisted laser desorption ionisation time flight mass spectrometry maldi tof identify biomphalaria snails infected schistosoma mansoni parasite causes schistosomiasis researc,rapid identification biomphalaria spp diagnosis schistosoma mansoni infestation using maldi tof mass spectrometry author summary study investigates use matrix assisted laser desorption ionisation time flight mass spectrometry maldi tof identify biomphalaria snails infected schistosoma mansoni parasite causes schistosomiasis researc,Negative,-0.4939,Positive,True
Former Ukrainian Foreign Minister Dmytro Kuleba to Address the New Cyber Frontline at Infosecurity Europe,Geopolitics and cyber warfare take center stage at Infosecurity Europe as Dmytro Kuleba discusses Ukraine’s hybrid war experience,Infosecurity Magazine,"24 Mar 2026, 14:00",https://www.infosecurity-magazine.com/news/foreign-minister-kuleba/,uk,Former Ukrainian Foreign Minister Dmytro Kuleba to Address the New Cyber Frontline at Infosecurity Europe Geopolitics and cyber warfare take center stage at Infosecurity Europe as Dmytro Kuleba discusses Ukraine’s hybrid war experience,former ukrainian foreign minister dmytro kuleba address new cyber frontline infosecurity europe geopolitics cyber warfare take center stage infosecurity europe dmytro kuleba discusses ukraine hybrid war experience,former ukrainian foreign minister dmytro kuleba address new cyber frontline infosecurity europe geopolitics cyber warfare take center stage infosecurity europe dmytro kuleba discusses ukraine hybrid war experience,Negative,-0.7269,Negative,True
Ultrasound-triggered doxorubicin targeted delivery for liver cancer treatment: Reduced toxicity and improved efficacy,"Liver cancer, especially hepatocellular carcinoma (HCC), remains a major global health challenge, causing high mortality worldwide. Conventional chemotherapy often results in severe side effects due to its systemic distribution, which limits its effectiveness…",Plos.org,"24 Mar 2026, 14:00",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0345161,uk,"Ultrasound-triggered doxorubicin targeted delivery for liver cancer treatment: Reduced toxicity and improved efficacy Liver cancer, especially hepatocellular carcinoma (HCC), remains a major global health challenge, causing high mortality worldwide. Conventional chemotherapy often results in severe side effects due to its systemic distribution, which limits its effectiveness…",ultrasound triggered doxorubicin targeted delivery liver cancer treatment reduced toxicity improved efficacy liver cancer especially hepatocellular carcinoma hcc remains major global health challenge causing high mortality worldwide conventional chemotherapy often results severe side effects due systemic distribution limits effectiveness,ultrasound triggered doxorubicin targeted delivery liver cancer treatment reduced toxicity improved efficacy liver cancer especially hepatocellular carcinoma hcc remains major global health challenge causing high mortality worldwide conventional chemotherapy often results severe side effects due systemic distribution limits effectiveness,Negative,-0.8288,Negative,True
Implications for methenamine hippurate use in recurrent urinary tract infection management: Formaldehyde resistance and altered urinary composition,"Author summary The mainstay of treatment for urinary tract infections is short course antibiotics, often sufficient to clear the infection. However, a significant proportion of UTIs are recurrent, leading to frequent antibiotic consumption. The drive for bett…",Plos.org,"24 Mar 2026, 14:00",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1014081,uk,"Implications for methenamine hippurate use in recurrent urinary tract infection management: Formaldehyde resistance and altered urinary composition Author summary The mainstay of treatment for urinary tract infections is short course antibiotics, often sufficient to clear the infection. However, a significant proportion of UTIs are recurrent, leading to frequent antibiotic consumption. The drive for bett…",implications methenamine hippurate use recurrent urinary tract infection management formaldehyde resistance altered urinary composition author summary mainstay treatment urinary tract infections short course antibiotics often sufficient clear infection however significant proportion utis recurrent leading frequent antibiotic consumption drive bett,implications methenamine hippurate use recurrent urinary tract infection management formaldehyde resistance altered urinary composition author summary mainstay treatment urinary tract infections short course antibiotics often sufficient clear infection however significant proportion utis recurrent leading frequent antibiotic consumption drive bett,Positive,0.5267,Positive,True
Who's Calling Whom?,"Programming note: Tomorrow, Wednesday, I shall be rising from my sickbed to host another edition of our Clubland Q&A taking questions from Steyn Clubbers live around the planet at 3pm North American Eastern - which, for one more week as we complete our",Steynonline.com,"24 Mar 2026, 14:00",https://www.steynonline.com/16107/who-calling-whom,uk,"Who's Calling Whom? Programming note: Tomorrow, Wednesday, I shall be rising from my sickbed to host another edition of our Clubland Q&A taking questions from Steyn Clubbers live around the planet at 3pm North American Eastern - which, for one more week as we complete our",calling programming note tomorrow wednesday shall rising sickbed host another edition clubland taking questions steyn clubbers live around planet north american eastern one week complete,calling programming note tomorrow wednesday shall rising sickbed host another edition clubland taking questions steyn clubbers live around planet north american eastern one week complete,Neutral,0.0,Positive,True
Risk assessment for cardiovascular adverse drug events in the ICU: Case study on COVID-19 patients,"The COVID-19 outbreak quickly became a pandemic. In Brazil, more than seven million cases were recorded in 2020. Most patients affected by the disease were admitted to intensive care units (ICU), requiring qualitative polypharmacy, increasing the risk of seri…",Plos.org,"24 Mar 2026, 14:00",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0345280,uk,"Risk assessment for cardiovascular adverse drug events in the ICU: Case study on COVID-19 patients The COVID-19 outbreak quickly became a pandemic. In Brazil, more than seven million cases were recorded in 2020. Most patients affected by the disease were admitted to intensive care units (ICU), requiring qualitative polypharmacy, increasing the risk of seri…",risk assessment cardiovascular adverse drug events icu case study covid patients covid outbreak quickly became pandemic brazil seven million cases recorded patients affected disease admitted intensive care units icu requiring qualitative polypharmacy increasing risk seri,risk assessment cardiovascular adverse drug events icu case study covid patients covid outbreak quickly became pandemic brazil seven million cases recorded patients affected disease admitted intensive care units icu requiring qualitative polypharmacy increasing risk seri,Negative,-0.4019,Positive,True
Reassessing BMI-based access to joint replacement surgery,"In this Perspective, Jonathan Evans and colleagues discuss why restricting access to joint replacement surgery based on BMI alone is not supported by evidence, and highlight how such restrictions risk exacerbating stigma, inequity and avoidable harm to those …",Plos.org,"24 Mar 2026, 14:00",https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1005003,uk,"Reassessing BMI-based access to joint replacement surgery In this Perspective, Jonathan Evans and colleagues discuss why restricting access to joint replacement surgery based on BMI alone is not supported by evidence, and highlight how such restrictions risk exacerbating stigma, inequity and avoidable harm to those …",reassessing bmi based access joint replacement surgery perspective jonathan evans colleagues discuss restricting access joint replacement surgery based bmi alone supported evidence highlight restrictions risk exacerbating stigma inequity avoidable harm,reassessing bmi based access joint replacement surgery perspective jonathan evans colleagues discuss restricting access joint replacement surgery based bmi alone supported evidence highlight restrictions risk exacerbating stigma inequity avoidable harm,Negative,-0.6705,Negative,True
Zalos raises $3.6M to automate finance workflows,"The YC Fall 2025 startup, founded by a former Agicap GM and a former Apple Pay engineer, converts screen recordings of finance workflows directly into computer agents, no API integration required. 14 Peaks led the round, with Cohen Circle and 20VC participati…",The Next Web,"24 Mar 2026, 13:55",https://thenextweb.com/news/zalos-raises-3-6m-to-automate-finance-workflows,uk,"Zalos raises $3.6M to automate finance workflows The YC Fall 2025 startup, founded by a former Agicap GM and a former Apple Pay engineer, converts screen recordings of finance workflows directly into computer agents, no API integration required. 14 Peaks led the round, with Cohen Circle and 20VC participati…",zalos raises automate finance workflows fall startup founded former agicap former apple pay engineer converts screen recordings finance workflows directly computer agents api integration required peaks led round cohen circle participati,zalos raises automate finance workflows fall startup founded former agicap former apple pay engineer converts screen recordings finance workflows directly computer agents api integration required peaks led round cohen circle participati,Negative,-0.1027,Negative,True
Supercharged 1990 Rover Mini Cooper RSP,"This 1990 Rover Mini Cooper is number 479 of 1,650 examples produced by Rover Special Products in 1990. It was acquired in 1994 by the founder of M-Tech Classic Mini Specialists of Somerset in the United Kingdom and was featured in Mini Magazine after the ins…",Bringatrailer.com,"24 Mar 2026, 13:54",https://bringatrailer.com/listing/1990-rover-mini-12/,uk,"Supercharged 1990 Rover Mini Cooper RSP This 1990 Rover Mini Cooper is number 479 of 1,650 examples produced by Rover Special Products in 1990. It was acquired in 1994 by the founder of M-Tech Classic Mini Specialists of Somerset in the United Kingdom and was featured in Mini Magazine after the ins…",supercharged rover mini cooper rsp rover mini cooper number examples produced rover special products acquired founder tech classic mini specialists somerset united kingdom featured mini magazine ins,supercharged rover mini cooper rsp rover mini cooper number examples produced rover special products acquired founder tech classic mini specialists somerset united kingdom featured mini magazine ins,Positive,0.7003,Positive,True
"Official Statistics: Private rent and house prices, UK: April 2026",The Price Index of Private Rents (PIPR) measures private rent inflation for new and existing tenancies. The UK House Price Index measures house price inflation.,Www.gov.uk,"24 Mar 2026, 13:50",https://www.gov.uk/government/statistics/announcements/private-rent-and-house-prices-uk-april-2026,uk,"Official Statistics: Private rent and house prices, UK: April 2026 The Price Index of Private Rents (PIPR) measures private rent inflation for new and existing tenancies. The UK House Price Index measures house price inflation.",official statistics private rent house prices april price index private rents pipr measures private rent inflation new existing tenancies house price index measures house price inflation,official statistics private rent house prices april price index private rents pipr measures private rent inflation new existing tenancies house price index measures house price inflation,Neutral,0.0,Neutral,True
"Official Statistics: Labour Demand Volumes by Standard Occupation Classification (SOC2020), UK: January 2017 to February 2026",These tables contain the number of online job adverts split by different geographies and occupation (SOC 2020),Www.gov.uk,"24 Mar 2026, 13:49",https://www.gov.uk/government/statistics/announcements/labour-demand-volumes-by-standard-occupation-classification-soc2020-uk-january-2017-to-february-2026,uk,"Official Statistics: Labour Demand Volumes by Standard Occupation Classification (SOC2020), UK: January 2017 to February 2026 These tables contain the number of online job adverts split by different geographies and occupation (SOC 2020)",official statistics labour demand volumes standard occupation classification soc january february tables contain number online job adverts split different geographies occupation soc,official statistics labour demand volumes standard occupation classification soc january february tables contain number online job adverts split different geographies occupation soc,Negative,-0.0516,Negative,True
"Accredited official statistics: Regional economic activity by gross domestic product, UK: 1998 to 2024","Annual estimates of economic activity by UK country, region and local area using gross domestic product (GDP). Estimates are available in current market prices and in chained volume measures and include a full industry breakdown of balanced regional gross val…",Www.gov.uk,"24 Mar 2026, 13:47",https://www.gov.uk/government/statistics/announcements/regional-economic-activity-by-gross-domestic-product-uk-1998-to-2024,uk,"Accredited official statistics: Regional economic activity by gross domestic product, UK: 1998 to 2024 Annual estimates of economic activity by UK country, region and local area using gross domestic product (GDP). Estimates are available in current market prices and in chained volume measures and include a full industry breakdown of balanced regional gross val…",accredited official statistics regional economic activity gross domestic product annual estimates economic activity country region local area using gross domestic product gdp estimates available current market prices chained volume measures include full industry breakdown balanced regional gross val,accredited official statistics regional economic activity gross domestic product annual estimates economic activity country region local area using gross domestic product gdp estimates available current market prices chained volume measures include full industry breakdown balanced regional gross val,Negative,-0.8519,Positive,True
Married at First Sight star Mel Schilling dies aged 54 after terminal illness,"Australian dating coach, who had colon cancer, died ‘surrounded by love’",The-independent.com,"24 Mar 2026, 13:46",https://www.the-independent.com/arts-entertainment/tv/news/mel-schilling-death-cause-age-mafs-b2944589.html,uk,"Married at First Sight star Mel Schilling dies aged 54 after terminal illness Australian dating coach, who had colon cancer, died ‘surrounded by love’",married first sight star mel schilling dies aged terminal illness australian dating coach colon cancer died surrounded love,married first sight star mel schilling dies aged terminal illness australian dating coach colon cancer died surrounded love,Negative,-0.7579,Negative,True
Nintendo has reportedly cut Switch 2 production significantly due to weak holiday sales and now aims to produce 4 million units instead of 6 million this quarter,Nintendo is reportedly cutting down Nintendo Switch 2 production following disappointing sales during the holiday season.,TechRadar,"24 Mar 2026, 13:45",https://www.techradar.com/gaming/nintendo-has-reportedly-cut-switch-2-production-significantly-due-to-weak-holiday-sales-and-now-aims-to-produce-4-million-units-instead-of-6-million-this-quarter,uk,Nintendo has reportedly cut Switch 2 production significantly due to weak holiday sales and now aims to produce 4 million units instead of 6 million this quarter Nintendo is reportedly cutting down Nintendo Switch 2 production following disappointing sales during the holiday season.,nintendo reportedly cut switch production significantly due weak holiday sales aims produce million units instead million quarter nintendo reportedly cutting nintendo switch production following disappointing sales holiday season,nintendo reportedly cut switch production significantly due weak holiday sales aims produce million units instead million quarter nintendo reportedly cutting nintendo switch production following disappointing sales holiday season,Negative,-0.5106,Negative,True
